(0,6,1)
(0,7,2)
(1,9,3)
(2,9,4)
(3,11,5)
(3,12,6)
(4,11,7)
(4,12,8)
(5,14,9)
(6,14,10)
(7,14,11)
(8,14,12)
(9,6,13)
(9,7,14)
(10,6,15)
(10,7,16)
(11,6,17)
(11,7,18)
(12,6,19)
(12,7,20)
(13,9,21)
(14,9,22)
(15,9,23)
(16,9,24)
(17,9,25)
(18,9,26)
(19,9,27)
(20,9,28)
(21,11,29)
(22,11,30)
(23,11,31)
(24,11,32)
(25,11,33)
(26,11,34)
(27,11,35)
(28,11,36)
(29,14,37)
(30,14,38)
(31,14,39)
(32,14,40)
(33,14,41)
(34,14,42)
(35,14,43)
(36,14,44)
(37,6,45)
(37,7,46)
(38,6,47)
(38,7,48)
(39,6,49)
(39,7,50)
(40,6,51)
(40,7,52)
(41,6,46)
(42,6,48)
(43,6,50)
(44,6,52)
(45,9,53)
(46,9,54)
(47,9,55)
(48,9,56)
(49,8,57)
(50,8,58)
(51,8,59)
(52,8,60)
(53,10,61)
(54,10,62)
(55,10,63)
(56,10,64)
(57,11,65)
(58,11,66)
(59,11,67)
(60,11,68)
(61,14,69)
(62,14,70)
(63,14,71)
(64,14,72)
(65,14,73)
(66,14,74)
(67,14,75)
(68,14,76)
(69,6,77)
(69,7,78)
(70,6,79)
(70,7,80)
(71,6,78)
(72,6,80)
(72,7,81)
(73,6,82)
(73,7,83)
(74,6,84)
(74,7,85)
(75,6,83)
(76,6,85)
(76,7,86)
(77,8,87)
(78,8,88)
(79,9,89)
(80,9,90)
(81,8,91)
(82,8,92)
(83,8,93)
(84,9,94)
(85,9,95)
(86,8,96)
(87,11,97)
(87,12,98)
(88,11,99)
(88,12,100)
(89,11,101)
(89,12,102)
(90,11,103)
(90,12,104)
(91,11,105)
(91,12,106)
(92,10,107)
(93,10,108)
(94,10,109)
(95,10,110)
(96,10,111)
(97,14,112)
(98,14,113)
(99,14,114)
(100,14,115)
(101,14,116)
(102,14,117)
(103,14,118)
(104,14,119)
(105,14,120)
(106,14,121)
(107,13,122)
(108,13,123)
(109,13,124)
(110,13,125)
(111,13,126)
(112,6,127)
(113,6,128)
(114,6,129)
(115,6,130)
(116,1,131)
(117,1,132)
(118,1,133)
(119,1,134)
(120,1,135)
(121,1,136)
(122,6,137)
(123,6,138)
(124,1,139)
(125,1,140)
(126,1,141)
(127,9,142)
(128,9,143)
(129,9,144)
(130,9,145)
(131,9,146)
(132,9,147)
(133,9,148)
(134,9,149)
(135,9,150)
(136,9,151)
(137,9,152)
(138,9,153)
(139,9,154)
(140,9,155)
(141,9,156)
(142,11,157)
(143,11,158)
(144,11,159)
(145,11,160)
(146,11,161)
(147,11,162)
(148,11,163)
(149,11,164)
(150,11,165)
(151,11,166)
(152,11,167)
(152,12,168)
(153,11,169)
(153,12,170)
(154,11,171)
(154,12,172)
(155,11,173)
(155,12,174)
(156,11,175)
(156,12,176)
(157,14,177)
(158,14,178)
(159,14,179)
(160,14,180)
(161,14,181)
(162,14,182)
(163,14,183)
(164,14,184)
(165,14,185)
(166,14,186)
(167,14,187)
(168,14,188)
(169,14,189)
(170,14,190)
(171,14,191)
(172,14,192)
(173,14,193)
(174,14,194)
(175,14,195)
(176,14,196)
(177,6,197)
(177,7,198)
(178,6,199)
